Name,Date,Location,Type,Region,Latitude,Longitude,Weather
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain likely. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Daytime forecast not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Partly sunny, with a high near 28. Northwest wind 9 to 13 mph, with gusts as high as 23 mph."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Rain showers. Mostly cloudy, with a high near 56. Chance of precipitation is 80%."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Daytime forecast not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Daytime forecast not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain likely. Mostly cloudy. High near 59, with temperatures falling to around 57 in the afternoon. South southeast wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Daytime forecast not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,Daytime forecast not available
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Daytime forecast not available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Daytime forecast not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"A chance of rain. Partly sunny, with a high near 45."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Daytime forecast not available
